LinkID,LinkName,AirportCode,NodeNameFrom,NodeNameTo,Length,LinkTypeID,RunwayAssociation
223,Taxiway Intersection (14)_Taxiway Intersection (13),PHX,Taxiway Intersection (14),Taxiway Intersection (13),263.509,10,null
225,Taxiway Intersection (15)_SpotS.6,PHX,Taxiway Intersection (15),SpotS.6,154.983,10,null
226,Taxiway Intersection (15)_H.n3,PHX,Taxiway Intersection (15),H.n3,596.148,10,null
227,S.Cargo.X2_SpotS.4,PHX,S.Cargo.X2,SpotS.4,403.6013672567,10,null
228,Taxiway Intersection (16)_SpotS.3,PHX,Taxiway Intersection (16),SpotS.3,160.29,10,null
229,Taxiway Intersection (16)_Taxiway Intersection (17),PHX,Taxiway Intersection (16),Taxiway Intersection (17),477.091,10,null
230,Taxiway Intersection (17)_H.n4,PHX,Taxiway Intersection (17),H.n4,235.363,10,null
231,Taxiway Intersection (17)_SpotS.2,PHX,Taxiway Intersection (17),SpotS.2,154.004,10,null
232,SpotNE.16_Terminal4S.Z3,PHX,SpotNE.16,Terminal4S.Z3,244.3040583839,10,null
233,SpotNE.15_Terminal4S.Z4,PHX,SpotNE.15,Terminal4S.Z4,267.826,10,null
234,SpotNE.11_Terminal4S.X1,PHX,SpotNE.11,Terminal4S.X1,123.4542113995,10,null
235,Taxiway Intersection (18)_Taxiway Intersection (19),PHX,Taxiway Intersection (18),Taxiway Intersection (19),211.4270773212,10,null
236,Taxiway Intersection (19)_D.n13,PHX,Taxiway Intersection (19),D.n13,125.2538094633,10,null
237,Taxiway Intersection (18)_Terminal4S.X3,PHX,Taxiway Intersection (18),Terminal4S.X3,94.5334090662,10,null
238,Taxiway Intersection (19)_Terminal4S.X2,PHX,Taxiway Intersection (19),Terminal4S.X2,96.6714368212,10,null
239,Taxiway Intersection (20)_Taxiway Intersection (16),PHX,Taxiway Intersection (20),Taxiway Intersection (16),671.088,10,null
240,Taxiway Intersection (21)_E.n10,PHX,Taxiway Intersection (21),E.n10,253.7331144564,10,null
242,Taxiway Intersection (22)_D.nS,PHX,Taxiway Intersection (22),D.nS,271.003,10,null
244,C.nT_Taxiway Intersection (22),PHX,C.nT,Taxiway Intersection (22),1954.4005013898,10,null
245,Taxiway Intersection (24)_B.n9,PHX,Taxiway Intersection (24),B.n9,197.0628817915,10,null
246,B.n14_Terminal5.X1,PHX,B.n14,Terminal5.X1,172.9565462802,10,null
247,Terminal5.X1_SpotE.1,PHX,Terminal5.X1,SpotE.1,197.325,10,null
248,SpotNE.14_Terminal4S.Z1,PHX,SpotNE.14,Terminal4S.Z1,142.2474812105,10,null
250,E.n13_Taxiway Intersection (14),PHX,E.n13,Taxiway Intersection (14),286.8,10,null
251,Taxiway Intersection (25)_Terminal4S.Y2,PHX,Taxiway Intersection (25),Terminal4S.Y2,94.676467596,10,null
252,Taxiway Intersection (26)_Terminal4S.Y1,PHX,Taxiway Intersection (26),Terminal4S.Y1,90.1921198942,10,null
253,Taxiway Intersection (25)_Taxiway Intersection (26),PHX,Taxiway Intersection (25),Taxiway Intersection (26),217.693,10,null
254,Taxiway Intersection (26)_D.n12,PHX,Taxiway Intersection (26),D.n12,293.199,10,null
255,W.Cargo.D_W.Cargo.X1,PHX,W.Cargo.D,W.Cargo.X1,224.832985875,10,null
256,W.Cargo.X1_SpotW.2,PHX,W.Cargo.X1,SpotW.2,176.088,10,null
257,Taxiway Intersection (27)_C.nB4,PHX,Taxiway Intersection (27),C.nB4,1260.3806150177,10,null
258,Taxiway Intersection (13)_SpotE.2,PHX,Taxiway Intersection (13),SpotE.2,161.849,10,null
259,C.n5_W.Hold.2,PHX,C.n5,W.Hold.2,202.876,10,null
260,W.Hold.2_W.Hold.1,PHX,W.Hold.2,W.Hold.1,574.022,10,null
261,W.Hold.1_C.n6,PHX,W.Hold.1,C.n6,377.082,10,null
262,C.n4_W.Hold.3,PHX,C.n4,W.Hold.3,220.796,10,null
263,W.Hold.3_W.Hold.2,PHX,W.Hold.3,W.Hold.2,1007.463,10,null
264,Taxiway Intersection (30)_Taxiway Intersection (29),PHX,Taxiway Intersection (30),Taxiway Intersection (29),147.358,10,null
265,Taxiway Intersection (30)_D.n11,PHX,Taxiway Intersection (30),D.n11,281.015,10,null
266,Terminal4S.Z2_Taxiway Intersection (30),PHX,Terminal4S.Z2,Taxiway Intersection (30),88.6297463678,10,null
267,Terminal4S.Z5_Taxiway Intersection (29),PHX,Terminal4S.Z5,Taxiway Intersection (29),91.3402581517,10,null
268,Terminal4N.X5_SpotNE.8,PHX,Terminal4N.X5,SpotNE.8,97.3892068379,10,null
269,Terminal4N.X6_SpotNE.7,PHX,Terminal4N.X6,SpotNE.7,97.6045578932,10,null
270,Terminal4N.X7_SpotNE.4,PHX,Terminal4N.X7,SpotNE.4,115.5813647089,10,null
271,Terminal4N.X8_SpotNE.3,PHX,Terminal4N.X8,SpotNE.3,136.8466998575,10,null
272,Taxiway Intersection (31)_C.nS,PHX,Taxiway Intersection (31),C.nS,678.805,10,null
273,Taxiway Intersection (32)_Taxiway Intersection (33),PHX,Taxiway Intersection (32),Taxiway Intersection (33),268.544,10,null
274,Taxiway Intersection (33)_Taxiway Intersection (34),PHX,Taxiway Intersection (33),Taxiway Intersection (34),249.977,10,null
276,Taxiway Intersection (35)_Taxiway Intersection (36),PHX,Taxiway Intersection (35),Taxiway Intersection (36),285.582,10,null
277,Taxiway Intersection (36)_C.n9,PHX,Taxiway Intersection (36),C.n9,153.4475900986,10,null
278,Taxiway Intersection (37)_Taxiway Intersection (38),PHX,Taxiway Intersection (37),Taxiway Intersection (38),281.9068354126,10,null
279,Taxiway Intersection (38)_C.n10,PHX,Taxiway Intersection (38),C.n10,101.0051239554,10,null
280,Taxiway Intersection (39)_Taxiway Intersection (40),PHX,Taxiway Intersection (39),Taxiway Intersection (40),220.9298051718,10,null
281,Taxiway Intersection (40)_Taxiway Intersection (41),PHX,Taxiway Intersection (40),Taxiway Intersection (41),167.0400224834,10,null
283,Terminal4N.X2_SpotNE.9,PHX,Terminal4N.X2,SpotNE.9,187.5766544153,10,null
284,Terminal4N.X3_Taxiway Intersection (33),PHX,Terminal4N.X3,Taxiway Intersection (33),115.1971596634,10,null
285,Terminal4N.X4_Taxiway Intersection (34),PHX,Terminal4N.X4,Taxiway Intersection (34),119.921036672,10,null
286,Terminal4N.X15_Taxiway Intersection (35),PHX,Terminal4N.X15,Taxiway Intersection (35),115.1409432263,10,null
287,Terminal4N.X14_Taxiway Intersection (36),PHX,Terminal4N.X14,Taxiway Intersection (36),121.9547565535,10,null
288,Terminal4N.X13_Taxiway Intersection (37),PHX,Terminal4N.X13,Taxiway Intersection (37),116.3855755487,10,null
289,Terminal4N.X12_Taxiway Intersection (38),PHX,Terminal4N.X12,Taxiway Intersection (38),144.0276276002,10,null
290,Terminal4N.X11_Taxiway Intersection (39),PHX,Terminal4N.X11,Taxiway Intersection (39),123.9433095245,10,null
291,Terminal4N.X10_Taxiway Intersection (40),PHX,Terminal4N.X10,Taxiway Intersection (40),121.4112630926,10,null
292,Terminal4N.X9_SpotNE.2,PHX,Terminal4N.X9,SpotNE.2,309.0475734032,10,null
294,Terminal4N.X1_SpotNE.10,PHX,Terminal4N.X1,SpotNE.10,77.8443312236,10,null
295,Taxiway Intersection (43)_SpotCE.4,PHX,Taxiway Intersection (43),SpotCE.4,84.2786179446,10,null
296,Taxiway Intersection (43)_E.Hold.1,PHX,Taxiway Intersection (43),E.Hold.1,184.7741593343,10,null
297,E.Hold.1_SpotCE.5,PHX,E.Hold.1,SpotCE.5,89.863,10,null
298,E.Hold.1_E.Hold.2,PHX,E.Hold.1,E.Hold.2,193.981,10,null
299,E.Hold.2_SpotCE.7,PHX,E.Hold.2,SpotCE.7,90.352,10,null
300,E.Hold.2_E.Hold.3,PHX,E.Hold.2,E.Hold.3,168.204,10,null
301,E.Hold.3_SpotCE.6,PHX,E.Hold.3,SpotCE.6,114.582,10,null
302,Taxiway Intersection (46)_Terminal3N.D,PHX,Taxiway Intersection (46),Terminal3N.D,168.9274812217,10,null
303,N26_SpotCE.2,PHX,N26,SpotCE.2,147.489,10,null
304,N25_SpotCE.3,PHX,N25,SpotCE.3,157.311,10,null
306,Taxiway Intersection (48)_Taxiway Intersection (13),PHX,Taxiway Intersection (48),Taxiway Intersection (13),1547.243,10,null
307,Terminal3N.X4_SpotNE.1,PHX,Terminal3N.X4,SpotNE.1,81.1773509401,10,null
311,Terminal5S.X1_SpotS.1,PHX,Terminal5S.X1,SpotS.1,118.7119364798,10,null
313,Taxiway Intersection (28)_Taxiway Intersection (47),PHX,Taxiway Intersection (28),Taxiway Intersection (47),299.923,10,null
314,Taxiway Intersection (47)_C.n7,PHX,Taxiway Intersection (47),C.n7,579.689,10,null
315,SpotNE.1_Taxiway Intersection (48),PHX,SpotNE.1,Taxiway Intersection (48),143.9519250609,10,null
316,SpotNE.2_Taxiway Intersection (41),PHX,SpotNE.2,Taxiway Intersection (41),118.6909819126,10,null
318,SpotNE.4_C.n10,PHX,SpotNE.4,C.n10,120.6211525002,10,null
320,SpotNE.6_C.n9,PHX,SpotNE.6,C.n9,116.242172243,10,null
321,SpotNE.7_C.n8,PHX,SpotNE.7,C.n8,139.2609987278,10,null
322,SpotNE.8_C.n8,PHX,SpotNE.8,C.n8,123.8201821615,10,null
323,SpotNE.9_Taxiway Intersection (32),PHX,SpotNE.9,Taxiway Intersection (32),130.613,10,null
324,SpotNE.10_Taxiway Intersection (31),PHX,SpotNE.10,Taxiway Intersection (31),136.562,10,null
325,SpotS.6_S.Cargo.X1,PHX,SpotS.6,S.Cargo.X1,254.091,10,null
326,SpotS.4_Taxiway Intersection (20),PHX,SpotS.4,Taxiway Intersection (20),152.541,10,null
327,SpotS.3_S.Cargo.D,PHX,SpotS.3,S.Cargo.D,122.2818468969,10,null
